date,stock_id,Trading_Volume,Trading_money,open,max,min,close,spread,Trading_turnover
2022-02-22,6875,724898,35737264,0.0,59.0,44.9,49.65,0.0,472
2022-02-23,6875,213826,9727526,49.3,48.0,43.3,46.2,-3.81,123
2022-02-24,6875,29878,1342951,45.49,46.05,44.55,46.05,-0.54,27
2022-02-25,6875,44940,1985239,44.95,45.75,43.55,44.95,-0.77,33
2022-03-01,6875,80030,3598956,44.18,45.9,43.7,45.9,0.79,60
2022-03-02,6875,55286,2433357,44.97,45.0,43.65,43.65,-0.96,44
2022-03-03,6875,24738,1078406,44.01,43.9,43.0,43.65,-0.42,25
2022-03-04,6875,118606,5081623,43.59,44.1,42.0,42.55,-0.75,72
2022-03-07,6875,106126,4341223,42.84,42.55,39.6,40.35,-1.93,64
2022-03-08,6875,13201,517304,40.91,39.95,38.85,39.0,-1.72,19
2022-03-09,6875,29616,1156041,39.19,39.65,38.7,38.7,-0.16,26
2022-03-10,6875,66150,2512147,39.03,38.55,37.35,37.35,-1.05,38
2022-03-11,6875,31500,1161525,37.98,37.4,36.45,36.6,-1.11,25
2022-03-14,6875,31200,1117700,36.87,36.4,35.45,35.6,-1.05,19
2022-03-15,6875,8000,288450,35.82,36.15,36.0,36.0,0.24,5
2022-03-16,6875,18000,649350,36.06,36.25,35.7,35.7,0.02,7
2022-03-17,6875,8000,286400,36.08,36.05,35.55,36.05,-0.28,4
2022-03-18,6875,22004,777192,35.8,35.65,35.05,35.65,-0.48,15
2022-03-21,6875,60781,2234111,35.32,38.1,35.65,37.8,1.44,38
2022-03-22,6875,96816,4020999,36.76,42.75,38.5,42.5,4.77,73
2022-03-23,6875,82845,3479100,41.53,43.25,39.85,41.0,0.47,50
2022-03-24,6875,18000,732200,42.0,41.15,39.85,41.0,-1.32,12
2022-03-25,6875,52431,2137619,40.68,41.9,40.0,40.1,0.09,32
2022-03-28,6875,34614,1364362,40.77,40.1,37.85,38.95,-1.35,26
2022-03-29,6875,11450,436080,39.42,39.0,37.85,37.9,-1.33,11
2022-03-30,6875,5002,191027,38.09,38.95,37.85,38.95,0.1,6
2022-03-31,6875,2226,84514,38.19,39.0,37.85,37.85,-0.22,9
2022-04-01,6875,9002,347578,37.97,39.15,38.0,38.5,0.64,8
2022-04-06,6875,11312,437193,38.61,39.15,38.1,38.3,0.04,11
2022-04-07,6875,25511,952285,38.65,38.15,37.1,37.25,-1.32,19
2022-04-08,6875,5102,188555,37.33,38.0,36.9,37.8,-0.37,7
2022-04-11,6875,7001,260436,36.96,37.75,36.75,36.8,0.24,4
2022-04-12,6875,1000,36750,37.2,36.75,36.75,36.75,-0.45,1
2022-04-13,6875,2001,73437,36.75,37.75,36.7,37.75,-0.05,3
2022-04-14,6875,3000,110850,36.7,37.35,36.7,36.8,0.25,3
2022-04-15,6875,14035,513474,36.95,36.9,36.3,36.3,-0.36,10
2022-04-18,6875,18729,681822,36.59,36.55,35.9,35.9,-0.19,13
2022-04-19,6875,16000,576700,36.4,36.3,35.8,35.8,-0.36,11
