date,stock_id,market_value
2021-01-04,2924,764360554.0
2021-01-05,2924,761080037.0
2021-01-06,2924,761080037.0
2021-01-07,2924,826690385.0
2021-01-08,2924,813568315.0
2021-01-11,2924,767641072.0
2021-01-12,2924,767641072.0
2021-01-13,2924,761080037.0
2021-01-14,2924,751238485.0
2021-01-15,2924,741396932.0
2021-01-18,2924,731555380.0
2021-01-19,2924,731555380.0
2021-01-20,2924,702030724.0
2021-01-21,2924,682347619.0
2021-01-22,2924,672506067.0
2021-01-25,2924,672506067.0
2021-01-26,2924,672506067.0
2021-01-27,2924,672506067.0
2021-01-28,2924,662664515.0
2021-01-29,2924,672506067.0
2021-02-01,2924,662664515.0
2021-02-02,2924,652822963.0
2021-02-03,2924,662664515.0
2021-02-05,2924,662664515.0
2021-02-17,2924,662664515.0
2021-02-18,2924,662664515.0
2021-02-19,2924,662664515.0
2021-02-22,2924,662664515.0
2021-02-23,2924,667585291.0
2021-02-24,2924,659383997.0
2021-02-25,2924,659383997.0
2021-02-26,2924,661024256.0
2021-03-02,2924,659383997.0
2021-03-03,2924,661024256.0
2021-03-04,2924,659383997.0
2021-03-05,2924,649542445.0
2021-03-08,2924,649542445.0
2021-03-09,2924,649542445.0
2021-03-10,2924,649542445.0
2021-03-11,2924,649542445.0
2021-03-12,2924,649542445.0
2021-03-15,2924,646261928.0
2021-03-16,2924,646261928.0
2021-03-17,2924,646261928.0
2021-03-18,2924,646261928.0
2021-03-19,2924,633139858.0
2021-03-22,2924,636420376.0
2021-03-23,2924,636420376.0
2021-03-24,2924,636420376.0
2021-03-25,2924,636420376.0
2021-03-26,2924,636420376.0
2021-03-29,2924,636420376.0
2021-03-30,2924,636420376.0
2021-03-31,2924,636420376.0
2021-04-01,2924,636420376.0
2021-04-06,2924,636420376.0
2021-04-07,2924,636420376.0
2021-04-08,2924,636420376.0
2021-04-09,2924,636420376.0
2021-04-12,2924,636420376.0
2021-04-13,2924,626578823.0
2021-04-14,2924,623298306.0
2021-04-15,2924,623298306.0
2021-04-16,2924,623298306.0
2021-04-19,2924,623298306.0
2021-04-20,2924,623298306.0
2021-04-21,2924,623298306.0
2021-04-22,2924,623298306.0
2021-04-23,2924,623298306.0
2021-04-26,2924,623298306.0
2021-04-28,2924,623298306.0
2021-04-29,2924,623298306.0
2021-05-03,2924,623298306.0
2021-05-04,2924,623298306.0
2021-05-05,2924,623298306.0
2021-05-06,2924,623298306.0
2021-05-07,2924,623298306.0
2021-05-10,2924,623298306.0
2021-05-11,2924,620017789.0
2021-05-12,2924,620017789.0
2021-05-13,2924,620017789.0
2021-05-14,2924,620017789.0
2021-05-17,2924,613456754.0
2021-05-18,2924,613456754.0
2021-05-19,2924,613456754.0
2021-05-20,2924,606895719.0
2021-05-21,2924,606895719.0
2021-05-24,2924,603615202.0
2021-05-25,2924,603615202.0
2021-05-26,2924,593773649.0
2021-05-27,2924,593773649.0
2021-05-28,2924,593773649.0
2021-05-31,2924,595413908.0
2021-06-01,2924,654463221.0
2021-06-02,2924,718433311.0
2021-06-03,2924,669225550.0
2021-06-04,2924,639700893.0
2021-06-07,2924,606895719.0
2021-06-08,2924,606895719.0
2021-06-09,2924,600334684.0
2021-06-10,2924,629859341.0
2021-06-11,2924,629859341.0
2021-06-15,2924,623298306.0
2021-06-16,2924,620017789.0
2021-06-17,2924,0.0
2021-06-18,2924,616737271.0
2021-06-21,2924,613456754.0
2021-06-22,2924,613456754.0
2021-06-23,2924,613456754.0
2021-06-24,2924,0.0
2021-06-25,2924,613456754.0
2021-06-28,2924,600334684.0
2021-06-29,2924,605255460.0
2021-06-30,2924,606895719.0
2021-07-01,2924,610176236.0
2021-07-02,2924,606895719.0
2021-07-05,2924,610176236.0
2021-07-06,2924,610176236.0
2021-07-07,2924,610176236.0
2021-07-08,2924,0.0
2021-07-09,2924,615097013.0
2021-07-12,2924,0.0
2021-07-13,2924,613456754.0
2021-07-14,2924,0.0
2021-07-15,2924,611816495.0
2021-07-16,2924,616737271.0
2021-07-19,2924,613456754.0
2021-07-20,2924,0.0
2021-07-21,2924,610176236.0
2021-07-22,2924,618377530.0
2021-07-23,2924,0.0
2021-07-26,2924,0.0
2021-07-27,2924,0.0
2021-07-28,2924,615097013.0
2021-07-29,2924,613456754.0
2021-07-30,2924,0.0
2021-08-02,2924,0.0
2021-08-03,2924,610176236.0
2021-08-04,2924,597054167.0
2021-08-05,2924,610176236.0
2021-08-06,2924,0.0
2021-08-09,2924,0.0
2021-08-10,2924,0.0
2021-08-11,2924,0.0
2021-08-12,2924,0.0
2021-08-13,2924,0.0
2021-08-16,2924,610176236.0
2021-08-17,2924,0.0
2021-08-18,2924,0.0
2021-08-19,2924,0.0
2021-08-20,2924,0.0
2021-08-23,2924,0.0
2021-08-24,2924,610176236.0
2021-08-25,2924,0.0
2021-08-26,2924,0.0
2021-08-27,2924,0.0
2021-08-30,2924,0.0
2021-08-31,2924,606895719.0
2021-09-01,2924,0.0
2021-09-02,2924,0.0
2021-09-03,2924,605255460.0
2021-09-06,2924,0.0
2021-09-07,2924,0.0
2021-09-08,2924,0.0
2021-09-09,2924,605255460.0
2021-09-10,2924,0.0
2021-09-13,2924,0.0
2021-09-14,2924,605255460.0
2021-09-15,2924,0.0
2021-09-16,2924,0.0
2021-09-17,2924,0.0
2021-09-22,2924,0.0
2021-09-24,2924,608535978.0
2021-09-27,2924,0.0
2021-09-28,2924,0.0
2021-09-29,2924,0.0
2021-09-30,2924,0.0
2021-10-01,2924,0.0
2021-10-04,2924,0.0
2021-10-05,2924,0.0
2021-10-06,2924,0.0
2021-10-07,2924,606895719.0
2021-10-08,2924,606895719.0
2021-10-12,2924,0.0
2021-10-13,2924,0.0
2021-10-14,2924,0.0
2021-10-15,2924,0.0
2021-10-18,2924,0.0
2021-10-19,2924,0.0
2021-10-20,2924,0.0
2021-10-21,2924,583932097.0
2021-10-22,2924,606895719.0
2021-10-25,2924,606895719.0
2021-10-26,2924,603615202.0
2021-10-27,2924,0.0
2021-10-28,2924,603615202.0
2021-10-29,2924,0.0
2021-11-01,2924,600334684.0
2021-11-02,2924,0.0
2021-11-03,2924,600334684.0
2021-11-04,2924,570810028.0
2021-11-05,2924,570810028.0
2021-11-08,2924,0.0
2021-11-09,2924,579011321.0
2021-11-10,2924,585572356.0
2021-11-11,2924,567529510.0
2021-11-12,2924,583932097.0
2021-11-15,2924,0.0
2021-11-16,2924,583932097.0
2021-11-17,2924,583932097.0
2021-11-18,2924,0.0
2021-11-19,2924,579011321.0
2021-11-22,2924,0.0
2021-11-23,2924,0.0
2021-11-24,2924,0.0
2021-11-25,2924,577371062.0
2021-11-26,2924,579011321.0
2021-11-29,2924,590493132.0
2021-11-30,2924,0.0
2021-12-01,2924,560968475.0
2021-12-02,2924,0.0
2021-12-03,2924,587212615.0
2021-12-06,2924,583932097.0
2021-12-07,2924,0.0
2021-12-08,2924,0.0
2021-12-09,2924,0.0
2021-12-10,2924,0.0
2021-12-13,2924,580651580.0
2021-12-14,2924,0.0
2021-12-15,2924,580651580.0
2021-12-16,2924,0.0
2021-12-17,2924,0.0
2021-12-20,2924,0.0
2021-12-21,2924,0.0
2021-12-22,2924,580651580.0
2021-12-23,2924,0.0
2021-12-24,2924,0.0
2021-12-27,2924,0.0
2021-12-28,2924,0.0
2021-12-29,2924,0.0
2021-12-30,2924,0.0
