date,stock_id,Trading_Volume,Trading_money,open,max,min,close,spread,Trading_turnover
2025-01-02,6770,10265203,162754556,15.85,16.1,15.65,15.7,-0.2,4052
2025-01-03,6770,9856123,156131453,15.8,16.2,15.6,15.6,-0.1,3834
2025-01-06,6770,13013564,206830932,15.8,16.1,15.65,15.85,0.25,4641
2025-01-07,6770,20483942,317810360,16.0,16.2,15.15,15.2,-0.65,7365
2025-01-08,6770,8427400,127689669,15.2,15.3,15.05,15.15,-0.05,3521
2025-01-09,6770,28827485,421627720,15.1,15.15,14.25,14.3,-0.85,10412
2025-01-10,6770,10512371,150655418,14.3,14.6,14.2,14.2,-0.1,4051
2025-01-13,6770,25797589,353925706,14.1,14.15,13.5,13.65,-0.55,7853
2025-01-14,6770,13672619,191757272,13.85,14.2,13.8,14.1,0.45,4425
2025-01-15,6770,9148164,129846448,14.1,14.4,13.9,14.3,0.2,4043
2025-01-16,6770,10020765,144837972,14.5,14.6,14.35,14.45,0.15,4577
2025-01-17,6770,25485817,379509515,14.45,15.3,14.3,15.0,0.55,7955
2025-01-20,6770,17148618,282952038,16.5,16.5,16.5,16.5,1.5,4936
2025-01-21,6770,22396856,406502645,18.15,18.15,18.15,18.15,1.65,5884
2025-01-22,6770,83176681,1655956501,19.95,19.95,19.5,19.95,1.8,20006
2025-02-03,6770,190140299,3799304236,19.5,20.7,19.2,20.7,0.75,57841
2025-02-04,6770,114708343,2197066126,20.25,20.25,18.65,18.65,-2.05,43041
2025-02-05,6770,53651568,998975368,18.8,19.0,18.3,18.55,-0.1,19702
2025-02-06,6770,68508909,1243270989,18.65,18.85,17.7,18.3,-0.25,23888
2025-02-07,6770,46085161,816147805,18.1,18.15,17.5,17.6,-0.7,17707
2025-02-10,6770,47529422,807173725,17.3,17.4,16.75,16.85,-0.75,16907
2025-02-11,6770,67853516,1198947657,17.25,18.25,17.1,17.55,0.7,22220
2025-02-12,6770,31647361,549316001,17.55,17.65,17.2,17.2,-0.35,11316
2025-02-13,6770,73853418,1341454868,17.45,18.7,17.3,18.15,0.95,24382
2025-02-14,6770,56873378,1031357339,17.75,18.55,17.6,18.35,0.2,18643
2025-02-17,6770,48835974,902977200,18.35,18.85,18.0,18.45,0.1,16628
2025-02-18,6770,26205474,483559463,18.45,18.7,18.25,18.45,0.0,9777
2025-02-19,6770,45924681,866218817,18.4,19.1,18.4,18.9,0.45,16297
2025-02-20,6770,35148279,655252639,19.0,19.15,18.4,18.45,-0.45,15552
2025-02-21,6770,22285312,414990767,18.35,18.8,18.35,18.65,0.2,7461
2025-02-24,6770,17302542,322810663,18.55,18.85,18.4,18.7,0.05,6524
2025-02-25,6770,34861968,655310319,18.5,19.05,18.4,19.0,0.3,10690
2025-02-26,6770,27505770,515250825,18.85,18.95,18.5,18.5,-0.5,10641
2025-02-27,6770,20065934,369868020,18.5,18.75,18.2,18.35,-0.15,10236
2025-03-03,6770,23294496,413683213,18.1,18.1,17.6,17.6,-0.75,8586
2025-03-04,6770,15674131,275901437,17.2,18.0,17.15,18.0,0.4,5940
2025-03-05,6770,19073049,349845185,17.95,18.6,17.85,18.6,0.6,7152
2025-03-06,6770,17081790,313992230,18.75,18.8,18.05,18.05,-0.55,7658
2025-03-07,6770,13450934,243369847,18.0,18.35,17.9,17.95,-0.1,5314
2025-03-10,6770,31038072,578273254,18.05,18.95,18.05,18.6,0.65,11268
2025-03-11,6770,29403015,527528400,18.2,18.2,17.65,18.05,-0.55,10998
2025-03-12,6770,29990721,548223641,18.05,18.6,17.8,18.3,0.25,9520
2025-03-13,6770,22753648,411191740,18.4,18.5,17.7,17.7,-0.6,7887
2025-03-14,6770,18690090,334186277,17.75,18.2,17.55,18.0,0.3,6219
2025-03-17,6770,14498294,261178879,18.2,18.35,17.85,17.95,-0.05,5158
2025-03-18,6770,12140700,218292397,18.05,18.25,17.8,17.95,0.0,4920
2025-03-19,6770,13149613,236297027,18.0,18.25,17.8,17.8,-0.15,5006
2025-03-20,6770,14056961,255368315,17.95,18.35,17.95,18.15,0.35,4758
2025-03-21,6770,18093370,323694817,18.2,18.2,17.75,17.85,-0.3,5685
2025-03-24,6770,9792739,173425140,17.9,18.0,17.6,17.6,-0.25,4134
2025-03-25,6770,14594575,254031453,17.75,17.95,17.2,17.2,-0.4,7145
2025-03-26,6770,6964288,120364021,17.3,17.55,17.2,17.2,0.0,4081
2025-03-27,6770,12684620,217159490,17.05,17.4,16.8,17.1,-0.1,4508
2025-03-28,6770,16644564,276481998,17.0,17.1,16.35,16.35,-0.75,7086
2025-03-31,6770,26359250,406548613,15.8,15.85,15.15,15.2,-1.15,8885
2025-04-01,6770,15973426,250755141,15.5,15.9,15.4,15.7,0.5,5502
2025-04-02,6770,13663656,215193460,15.7,16.0,15.4,15.85,0.15,3801
2025-04-07,6770,5712387,81686757,14.3,14.3,14.3,14.3,-1.55,2763
2025-04-08,6770,41168839,544164867,13.1,13.7,12.9,13.25,-1.05,11751
2025-04-09,6770,40647949,504202014,13.1,13.15,11.95,11.95,-1.3,12681
2025-04-10,6770,5038707,66006984,13.1,13.1,13.1,13.1,1.15,1928
2025-04-11,6770,22279088,293990688,13.0,13.65,12.3,13.65,0.55,8160
2025-04-14,6770,26001723,372398676,14.0,14.7,13.95,14.2,0.55,7301
2025-04-15,6770,12059758,172947930,14.35,14.5,14.15,14.45,0.25,4861
2025-04-16,6770,17186096,242142592,14.25,14.3,14.0,14.1,-0.35,5631
2025-04-17,6770,9924271,139456855,14.0,14.25,13.85,14.1,0.0,3621
2025-04-18,6770,7579420,107654731,14.15,14.4,14.1,14.1,0.0,2742
2025-04-21,6770,6587557,91896973,14.2,14.25,13.8,13.8,-0.3,2575
2025-04-22,6770,8210328,112334801,13.7,13.95,13.35,13.7,-0.1,3028
2025-04-23,6770,17546236,251238895,14.15,14.55,14.1,14.4,0.7,5956
2025-04-24,6770,9717104,137580424,14.5,14.55,14.0,14.0,-0.4,4567
