remark,n,mean,t_stat,p_value,std,oPeriod,hPeriod
loser,156,0.0032592297777299,2.48441292407766,0.0140396441741125,0.0163852661053114,12,12
winner,156,0.0031980364249455,1.949632665352023,0.0530247305712292,0.0204876861446962,12,12
winner - loser,156,-6.119335278439445e-05,-0.0436397552368724,0.9652477298791582,0.0175139555013333,12,12
loser,165,-0.001582862331713,-0.534073677956223,0.5940137574612894,0.0380700933786313,12,3
winner,165,0.0067173696161235,2.304876419659196,0.0224269601866541,0.0374363563703443,12,3
winner - loser,165,0.0083002319478365,2.887762138016185,0.0044035867561091,0.0369207728099349,12,3
loser,162,-0.0003042317779651,-0.1560493821274377,0.8761895898812057,0.0248141857772053,12,6
winner,162,0.0043980414439079,1.926575093693032,0.0557939926183634,0.0290556692567734,12,6
winner - loser,162,0.004702273221873,2.254444099349184,0.0255167867576927,0.0265476385493382,12,6
loser,159,0.0016332278234851,1.053296052040538,0.2938134471020429,0.0195521659961037,12,9
winner,159,0.0033993172343721,1.7879705709170497,0.0756972681217855,0.0239734143694286,12,9
winner - loser,159,0.001766089410887,1.0843582197078785,0.2798578532004349,0.0205370695031024,12,9
loser,165,0.0009351896981318,0.6480056892979054,0.5178874553483057,0.0185379995516553,3,12
winner,165,0.0049921517409423,3.4040023250200053,0.0008347564777663,0.0188382216160841,3,12
winner - loser,165,0.0040569620428105,3.296276203764285,0.001201005144365,0.0158095431879179,3,12
loser,174,0.0030294627598198,1.031171297505157,0.3038999374389085,0.0387533656779984,3,3
winner,174,0.009033516918453,3.519564810424496,0.0005524854415628,0.0338565358395571,3,3
winner - loser,174,0.0060040541586331,2.448061256157157,0.0153610171762562,0.0323516879227237,3,3
loser,15,-0.0007426521254896,-0.099763765215372,0.9219463824593808,0.0288309017591451,3,6
winner,38,0.008817923670178,1.207565920193388,0.2348770048866742,0.0450139667247745,3,6
winner - loser,15,0.0102235945128541,1.7351285104280374,0.1046670228736457,0.0228201029772104,3,6
loser,168,0.000870048597852,0.5657514170416909,0.5723221478596112,0.0199329924339445,3,9
winner,168,0.0073134006278989,4.347902295483226,2.383067468804021e-05,0.0218018942800178,3,9
winner - loser,168,0.0064433520300468,4.640189086446221,7.0036283831959495e-06,0.0179982724657775,3,9
loser,162,0.0012028846160432,0.8602132326205969,0.3909506459022522,0.0177981703387221,6,12
winner,162,0.0036096380543629,2.3278645562187945,0.0211635608385787,0.0197361962932539,6,12
winner - loser,162,0.0024067534383197,2.0496009732287943,0.0420258483534339,0.0149458214471773,6,12
loser,171,0.0012832230634238,0.4489753432667772,0.6540212557515555,0.0373747004553979,6,3
winner,171,0.0089771612817634,3.4128152105373597,0.0008036679710989,0.034397296436901,6,3
winner - loser,171,0.0076939382183396,3.0780317227063234,0.002429774760505,0.0326868942813564,6,3
loser,168,0.0007513097264199,0.3929053093290804,0.694890497937914,0.0247848191689428,6,6
winner,168,0.0074799116164164,3.885510581340653,0.0001469873515706,0.0249518649444923,6,6
winner - loser,168,0.0067286018899965,4.1003464828843805,6.429157023931379e-05,0.0212695801654351,6,6
loser,165,0.0005193000937258,0.3310497556400615,0.7410295055964722,0.0201496311910394,6,9
winner,165,0.0054336275712667,3.221300577162331,0.0015390720234269,0.0216670901168288,6,9
winner - loser,165,0.0049143274775409,3.7001813301499857,0.0002937208727964,0.0170601583501799,6,9
loser,159,0.0016305118771646,1.1398980976336244,0.2560538342670364,0.0180366758354914,9,12
winner,159,0.0026531588308338,1.6088061950740853,0.1096550270081011,0.0207949596464237,9,12
winner - loser,159,0.0010226469536691,0.786769737153248,0.4325951767540871,0.0163899128601832,9,12
loser,168,-0.0003048154455703,-0.1005285936444516,0.9200452690711608,0.039300855448106,9,3
winner,168,0.009823996543711,3.6027331316133737,0.0004151273932955,0.0353435971502752,9,3
winner - loser,168,0.0101288119892813,3.815035187779253,0.0001914255207232,0.0344123715009129,9,3
loser,165,-0.0010057621977131,-0.4886274877883486,0.6257581990909867,0.0264398742832303,9,6
winner,165,0.0061267621770888,2.986337166091246,0.0032565445474745,0.0263532483915347,9,6
winner - loser,165,0.0071325243748019,3.931833808641858,0.0001241334338793,0.0233018329172402,9,6
loser,162,7.808504658314272e-05,0.048112462709921,0.9616862450031216,0.0206570258741463,9,9
winner,162,0.0038476523751838,2.1222803150529197,0.0353439701517494,0.0230754717947411,9,9
winner - loser,162,0.0037695673286006,2.57663351770675,0.0108745635050072,0.0186207152991521,9,9
